variable,lead_hours,mean,std,seeds,real,run
U500,102.0,2.3596851498704656,1.3281775440795234,3,False,multiscale
U500,108.0,3.1563612488976376,1.4096509504291204,3,True,multiscale
U500,114.0,4.046953435028272,1.4897217862322971,3,True,multiscale
U500,120.0,5.054526984881168,1.6092006250336257,3,True,multiscale
U850,6.0,0.23823233255263643,1.0851517177864685,3,False,multiscale
U850,12.0,0.926558257118673,1.1312586493752572,3,False,multiscale
U850,18.0,0.9097002702034077,0.9799292434406575,3,False,multiscale
U850,24.0,0.37317323664440966,0.7617069660657255,3,False,multiscale
U850,30.0,-0.6392903335164296,0.6470881526643418,3,False,multiscale
U850,36.0,-1.189003374518345,0.5338333065606511,3,True,multiscale
U850,42.0,-1.4054346884964672,0.4477481135942409,3,True,multiscale
U850,48.0,-1.4222060864247563,0.3519122959008514,3,True,multiscale
U850,54.0,-1.582409771443852,0.32833428820779226,3,True,multiscale
U850,60.0,-1.4073000725931457,0.3539675089249518,3,True,multiscale
U850,66.0,-1.0038148855798965,0.33033372252005494,3,True,multiscale
U850,72.0,-0.42791514671355474,0.4599111538505313,3,False,multiscale
U850,78.0,-0.0672247747485996,0.4962887234197209,3,False,multiscale
U850,84.0,0.49424010078608394,0.6044326729828566,3,False,multiscale
U850,90.0,1.1924118533714052,0.6656704146975178,3,False,multiscale
U850,96.0,2.039210364518658,0.807630363741333,3,True,multiscale
U850,102.0,2.6422683535849107,0.8609960326513431,3,True,multiscale
U850,108.0,3.470191911154059,1.011004475760829,3,True,multiscale
U850,114.0,4.420570342100114,1.1377670534880364,3,True,multiscale
U850,120.0,5.553533405173714,1.3602830983578222,3,True,multiscale
V250,6.0,3.37045442066224,0.9377207745377817,3,True,multiscale
V250,12.0,2.6512959608126194,0.919421919946173,3,True,multiscale
V250,18.0,0.8014503007668848,0.7857810439582242,3,False,multiscale
V250,24.0,-1.0161581736552725,0.62938384146056,3,False,multiscale
V250,30.0,-2.242375788401514,0.47761798280197476,3,True,multiscale
V250,36.0,-2.8351604083142585,0.32317269337833715,3,True,multiscale
V250,42.0,-2.986860588981234,0.19651191592464173,3,True,multiscale
V250,48.0,-2.8799293347307238,0.18125562309205076,3,True,multiscale
V250,54.0,-2.7170167878990767,0.29950366170059656,3,True,multiscale
V250,60.0,-2.4536251259050057,0.4110503816305443,3,True,multiscale
V250,66.0,-2.1425611510169396,0.5372606234802564,3,True,multiscale
V250,72.0,-1.8070920852516885,0.6722848878008938,3,True,multiscale
V250,78.0,-1.4672461727823063,0.8042242444952944,3,False,multiscale
V250,84.0,-1.0977983105802156,0.9545653150576606,3,False,multiscale
V250,90.0,-0.6576470062409854,1.1098407038128104,3,False,multiscale
V250,96.0,-0.1625221004026046,1.29858309279598,3,False,multiscale
V250,102.0,0.3668449043580035,1.5219669446788662,3,False,multiscale
V250,108.0,0.963449549357239,1.7376757946549202,3,False,multiscale
V250,114.0,1.7001480363567465,2.0175008851086766,3,False,multiscale
V250,120.0,2.501480316915703,2.2999704170697823,3,False,multiscale
V500,6.0,1.519193283278388,1.1775147312669523,3,False,multiscale
V500,12.0,0.8398286692583078,1.020936576256867,3,False,multiscale
V500,18.0,-0.7174487385872977,0.8574066409899979,3,False,multiscale
