lead_days,mean,min,max,std,count,variable,model
1.5,615.6647043420758,614.4410714203162,616.6577986607355,1.1262020024150259,3.0,Z500,pyramid_w2
1.75,680.9066789829607,679.6821035215843,682.0028052430504,1.1656708446157893,3.0,Z500,pyramid_w2
2.0,722.2824544674313,721.2976528359666,723.5261052174236,1.1365527500856576,3.0,Z500,pyramid_w2
2.25,771.7436029534801,770.7547595877733,773.2583468618759,1.3320720120783898,3.0,Z500,pyramid_w2
2.5,801.9008377843511,801.0337736570128,803.5865935379998,1.460107640016152,3.0,Z500,pyramid_w2
2.75,838.501236526035,837.32695174433,840.8108203906215,2.0002532819238708,3.0,Z500,pyramid_w2
3.0,859.0914543531431,857.5062490925678,861.9053511733426,2.443417072623515,3.0,Z500,pyramid_w2
3.25,889.781295320517,887.926534130933,893.1316798894959,2.9070694112311544,3.0,Z500,pyramid_w2
3.5,907.117072723788,904.9547547028468,910.565070167608,3.0180521180631095,3.0,Z500,pyramid_w2
3.75,932.5909768424676,929.8920738063332,936.682935983887,3.603388164351189,3.0,Z500,pyramid_w2
4.0,945.5206126763056,942.0459605157378,950.091261588214,4.133113111917993,3.0,Z500,pyramid_w2
4.25,969.052015021923,964.8536839395016,974.3072446435478,4.814584965279949,3.0,Z500,pyramid_w2
4.5,981.4814405472649,976.5728756575304,986.9501771366804,5.211280144756599,3.0,Z500,pyramid_w2
4.75,1002.2066571120058,996.4608777490532,1008.2609576567432,5.906086728678716,3.0,Z500,pyramid_w2
5.0,1011.9706135752167,1005.2059980711476,1018.3275165595732,6.570253722998112,3.0,Z500,pyramid_w2
0.25,217.73869040689897,,,,,Z500,rmse_persistence
0.5,348.3626241248843,,,,,Z500,rmse_persistence
0.75,483.8411712905642,,,,,Z500,rmse_persistence
1.0,570.0721175797385,,,,,Z500,rmse_persistence
1.25,656.6966140254239,,,,,Z500,rmse_persistence
1.5,709.8680748109073,,,,,Z500,rmse_persistence
1.75,764.9899504295225,,,,,Z500,rmse_persistence
2.0,796.7096331939707,,,,,Z500,rmse_persistence
2.25,836.5300981322013,,,,,Z500,rmse_persistence
