run,seed,variable,lead_hours,wavenumber,power_ratio
baseline17,1,Q850,24,19,0.974036029026984
baseline17,1,Q850,24,20,1.011953408271932
baseline17,1,Q850,24,21,0.989894369496959
baseline17,1,Q850,24,22,1.04523057316864
baseline17,1,Q850,24,23,1.0794193261565512
baseline17,1,Q850,24,24,1.041504041252421
baseline17,1,Q850,24,25,1.0544046629526964
baseline17,1,Q850,24,26,1.0932769882577438
baseline17,1,Q850,24,27,1.0961818681492843
baseline17,1,Q850,24,28,1.1119129273836192
baseline17,1,Q850,24,29,1.1457090648101906
baseline17,1,Q850,24,30,1.1710630914732687
baseline17,1,Q850,24,31,1.2509068730850188
baseline17,1,Q850,24,32,1.2778155850189064
baseline17,1,TP6h,24,1,0.6770892016325831
baseline17,1,TP6h,24,2,0.6014964030819419
baseline17,1,TP6h,24,3,0.599314397294939
baseline17,1,TP6h,24,4,0.49758674984761964
baseline17,1,TP6h,24,5,0.4857688574055801
baseline17,1,TP6h,24,6,0.4289060652638739
baseline17,1,TP6h,24,7,0.42164471650702107
baseline17,1,TP6h,24,8,0.4007799969919153
baseline17,1,TP6h,24,9,0.37067874549712165
baseline17,1,TP6h,24,10,0.34007516417986317
baseline17,1,TP6h,24,11,0.31543428954725095
baseline17,1,TP6h,24,12,0.30256974284224036
baseline17,1,TP6h,24,13,0.2868365130444602
baseline17,1,TP6h,24,14,0.2597717351568333
baseline17,1,TP6h,24,15,0.24779953188062348
baseline17,1,TP6h,24,16,0.2536095349248576
baseline17,1,TP6h,24,17,0.23221224932486143
baseline17,1,TP6h,24,18,0.20709387296363138
baseline17,1,TP6h,24,19,0.18932097356793337
baseline17,1,TP6h,24,20,0.1911332886872847
baseline17,1,TP6h,24,21,0.1757900249709295
baseline17,1,TP6h,24,22,0.16184853327733142
baseline17,1,TP6h,24,23,0.15559931416922168
baseline17,1,TP6h,24,24,0.1587978213668812
baseline17,1,TP6h,24,25,0.14714254731402962
baseline17,1,TP6h,24,26,0.14469675175024513
baseline17,1,TP6h,24,27,0.13517460772489712
baseline17,1,TP6h,24,28,0.13649038476292186
baseline17,1,TP6h,24,29,0.1309925663263436
baseline17,1,TP6h,24,30,0.13825416147011604
baseline17,1,TP6h,24,31,0.13741429921651035
baseline17,1,TP6h,24,32,0.1813589505978827
baseline17,1,Z500,120,1,0.8483466145546272
baseline17,1,Z500,120,2,0.8019892393751127
baseline17,1,Z500,120,3,0.7314969171072442
baseline17,1,Z500,120,4,0.5618239946345319
baseline17,1,Z500,120,5,0.5172672519727689
baseline17,1,Z500,120,6,0.5156056892322027
baseline17,1,Z500,120,7,0.6310470686992686
baseline17,1,Z500,120,8,0.8185357966933983
baseline17,1,Z500,120,9,1.2955632672739623
baseline17,1,Z500,120,10,1.9127053078689806
baseline17,1,Z500,120,11,3.0136547199870183
baseline17,1,Z500,120,12,4.816332007490131
baseline17,1,Z500,120,13,7.506537146124594
baseline17,1,Z500,120,14,10.784007129227026
baseline17,1,Z500,120,15,17.9124395556352
baseline17,1,Z500,120,16,54.600907524239304
baseline17,1,Z500,120,17,32.08366428634263
baseline17,1,Z500,120,18,35.25148642918547
baseline17,1,Z500,120,19,44.06341257048056
baseline17,1,Z500,120,20,49.659996444053824
baseline17,1,Z500,120,21,60.63426084350131
baseline17,1,Z500,120,22,64.60315179897191
baseline17,1,Z500,120,23,77.56463577935392
baseline17,1,Z500,120,24,94.02768323821722
baseline17,1,Z500,120,25,117.37735506994808
baseline17,1,Z500,120,26,143.79262472972783
baseline17,1,Z500,120,27,186.2243981747408
baseline17,1,Z500,120,28,237.21688764411223
baseline17,1,Z500,120,29,294.9669086083509
baseline17,1,Z500,120,30,371.55795891200387
baseline17,1,Z500,120,31,424.00389241641216
baseline17,1,Z500,120,32,1219.1614286897718
baseline17,1,T850,120,1,1.0203296281185716
baseline17,1,T850,120,2,0.9530186768238289
baseline17,1,T850,120,3,0.9205530883774862
baseline17,1,T850,120,4,0.7966357759577409
baseline17,1,T850,120,5,0.6865430918211473
baseline17,1,T850,120,6,0.6897165804710202
baseline17,1,T850,120,7,0.7800759724444325
baseline17,1,T850,120,8,0.8996335049873684
baseline17,1,T850,120,9,1.1714201657115346
baseline17,1,T850,120,10,1.3437850928755335
baseline17,1,T850,120,11,1.7571489749809466
baseline17,1,T850,120,12,2.1077395225017597
baseline17,1,T850,120,13,2.666243936196737
baseline17,1,T850,120,14,3.202513434879463
baseline17,1,T850,120,15,4.0887505875587085
baseline17,1,T850,120,16,9.502632619942387
baseline17,1,T850,120,17,5.640935328861285
baseline17,1,T850,120,18,5.677957216450079
baseline17,1,T850,120,19,6.950999508639652
baseline17,1,T850,120,20,6.625107604613928
baseline17,1,T850,120,21,6.808901048452285
baseline17,1,T850,120,22,7.1712531179690515
baseline17,1,T850,120,23,7.49911708577713
baseline17,1,T850,120,24,8.10968784531839
baseline17,1,T850,120,25,9.34675002704179
baseline17,1,T850,120,26,9.769132664926046
baseline17,1,T850,120,27,12.14150198635477
baseline17,1,T850,120,28,15.053557019865996
baseline17,1,T850,120,29,18.307373756388795
baseline17,1,T850,120,30,22.86841449093291
baseline17,1,T850,120,31,25.53356343350749
baseline17,1,T850,120,32,63.91238347630367
baseline17,1,Q850,120,1,0.9570483007421468
baseline17,1,Q850,120,2,0.9092025808147899
baseline17,1,Q850,120,3,0.8860115901679475
baseline17,1,Q850,120,4,0.8786074142256093
baseline17,1,Q850,120,5,0.8078247321710292
baseline17,1,Q850,120,6,0.7544262918638808
baseline17,1,Q850,120,7,0.7824832388357117
baseline17,1,Q850,120,8,0.7876862400138332
baseline17,1,Q850,120,9,0.793288586433418
baseline17,1,Q850,120,10,0.8271963998331469
baseline17,1,Q850,120,11,0.8949271986213111
baseline17,1,Q850,120,12,0.890916514186929
baseline17,1,Q850,120,13,1.0130837242188042
baseline17,1,Q850,120,14,1.074917023011949
baseline17,1,Q850,120,15,1.1308384064784
baseline17,1,Q850,120,16,1.751751048267506
baseline17,1,Q850,120,17,1.2592250146944213
baseline17,1,Q850,120,18,1.3466182056766907
baseline17,1,Q850,120,19,1.3584907989677018
baseline17,1,Q850,120,20,1.3597825337801042
baseline17,1,Q850,120,21,1.423718498291606
baseline17,1,Q850,120,22,1.4278566535122104
baseline17,1,Q850,120,23,1.3856138536537104
baseline17,1,Q850,120,24,1.4530593079483523
baseline17,1,Q850,120,25,1.547675418317485
baseline17,1,Q850,120,26,1.612632538315287
baseline17,1,Q850,120,27,1.7934271591584547
baseline17,1,Q850,120,28,1.939343781761652
baseline17,1,Q850,120,29,2.2310471370181335
baseline17,1,Q850,120,30,2.3490477768915725
baseline17,1,Q850,120,31,2.682242373788909
baseline17,1,Q850,120,32,5.532144116730149
baseline17,1,TP6h,120,1,0.5464522104945576
baseline17,1,TP6h,120,2,0.47471472668728826
baseline17,1,TP6h,120,3,0.4091064124008789
baseline17,1,TP6h,120,4,0.3020032481048868
baseline17,1,TP6h,120,5,0.24921365295468365
baseline17,1,TP6h,120,6,0.19424668835445336
baseline17,1,TP6h,120,7,0.17891818156357214
baseline17,1,TP6h,120,8,0.17887753856980257
baseline17,1,TP6h,120,9,0.14664362611308235
baseline17,1,TP6h,120,10,0.14051445782466748
baseline17,1,TP6h,120,11,0.14208840362593958
baseline17,1,TP6h,120,12,0.14807863017688463
baseline17,1,TP6h,120,13,0.15657066927049637
baseline17,1,TP6h,120,14,0.15052925778078732
baseline17,1,TP6h,120,15,0.1687157982960652
baseline17,1,TP6h,120,16,0.3008265925510724
baseline17,1,TP6h,120,17,0.1692582974400007
baseline17,1,TP6h,120,18,0.15661408607747915
baseline17,1,TP6h,120,19,0.1516364617731344
baseline17,1,TP6h,120,20,0.1438422063665956
baseline17,1,TP6h,120,21,0.12862183164492974
baseline17,1,TP6h,120,22,0.12829308702803596
baseline17,1,TP6h,120,23,0.11895181380659307
baseline17,1,TP6h,120,24,0.1272501480371594
baseline17,1,TP6h,120,25,0.11020906665567755
baseline17,1,TP6h,120,26,0.12332663293351963
baseline17,1,TP6h,120,27,0.11787702190369045
baseline17,1,TP6h,120,28,0.13529910163162615
baseline17,1,TP6h,120,29,0.14580985899645624
baseline17,1,TP6h,120,30,0.14721201966657746
baseline17,1,TP6h,120,31,0.15578938184734162
baseline17,1,TP6h,120,32,0.4360541202775128
baseline17,2,Z500,24,1,0.9622380070702178
baseline17,2,Z500,24,2,0.9711005206880263
baseline17,2,Z500,24,3,0.9381061212442128
baseline17,2,Z500,24,4,0.8113521170236634
baseline17,2,Z500,24,5,0.7387312092912223
baseline17,2,Z500,24,6,0.6681330585855172
baseline17,2,Z500,24,7,0.6618796034259178
baseline17,2,Z500,24,8,0.7341380521532592
baseline17,2,Z500,24,9,0.8794946495830575
baseline17,2,Z500,24,10,1.1000817944801677
baseline17,2,Z500,24,11,1.2855209998154076
baseline17,2,Z500,24,12,1.5618711939735843
baseline17,2,Z500,24,13,2.029799030674447
baseline17,2,Z500,24,14,2.525378741280625
baseline17,2,Z500,24,15,3.0854984113555557
baseline17,2,Z500,24,16,4.531318631736994
baseline17,2,Z500,24,17,5.121885067106629
baseline17,2,Z500,24,18,6.510706959588374
baseline17,2,Z500,24,19,8.716909071577312
baseline17,2,Z500,24,20,9.921758415652523
baseline17,2,Z500,24,21,11.86808210937226
baseline17,2,Z500,24,22,14.75191044666606
baseline17,2,Z500,24,23,16.626802123265215
baseline17,2,Z500,24,24,20.545919623199186
baseline17,2,Z500,24,25,25.98496775778192
baseline17,2,Z500,24,26,32.08562514545207
baseline17,2,Z500,24,27,40.1315607278088
baseline17,2,Z500,24,28,48.90025944965031
baseline17,2,Z500,24,29,58.930696292778016
baseline17,2,Z500,24,30,64.54880888439565
baseline17,2,Z500,24,31,68.29147578109132
baseline17,2,Z500,24,32,86.43676026268844
baseline17,2,T850,24,1,0.9986377658365876
baseline17,2,T850,24,2,0.9849115531250775
baseline17,2,T850,24,3,0.989538874326198
baseline17,2,T850,24,4,0.9290325658766917
baseline17,2,T850,24,5,0.9204249520724201
baseline17,2,T850,24,6,0.896137612946415
baseline17,2,T850,24,7,0.8594781827787114
baseline17,2,T850,24,8,0.8776273093354239
baseline17,2,T850,24,9,0.9754202545826284
baseline17,2,T850,24,10,1.0354226428372706
baseline17,2,T850,24,11,1.0732084309858412
baseline17,2,T850,24,12,1.231609751454182
baseline17,2,T850,24,13,1.306021379403804
baseline17,2,T850,24,14,1.4897502952513018
baseline17,2,T850,24,15,1.5716142477845003
baseline17,2,T850,24,16,1.7662568916234327
baseline17,2,T850,24,17,1.8174612622168407
baseline17,2,T850,24,18,1.9617992911259687
baseline17,2,T850,24,19,2.0901628002881236
baseline17,2,T850,24,20,2.107879230097214
baseline17,2,T850,24,21,2.301157200614617
baseline17,2,T850,24,22,2.3944700870664652
baseline17,2,T850,24,23,2.4663638309541693
baseline17,2,T850,24,24,2.5799938438534293
baseline17,2,T850,24,25,2.705823927919724
baseline17,2,T850,24,26,2.8806860277748267
baseline17,2,T850,24,27,3.10565303969036
baseline17,2,T850,24,28,3.5280620380810683
baseline17,2,T850,24,29,3.9020887449236445
baseline17,2,T850,24,30,4.028084938870105
baseline17,2,T850,24,31,4.147227986463739
baseline17,2,T850,24,32,4.901999658400728
baseline17,2,Q850,24,1,0.9788677117243133
baseline17,2,Q850,24,2,0.9858953744958555
baseline17,2,Q850,24,3,0.9822337571205286
baseline17,2,Q850,24,4,0.9545600399443962
baseline17,2,Q850,24,5,0.9363395520255696
baseline17,2,Q850,24,6,0.9111867376234513
baseline17,2,Q850,24,7,0.8645584129616325
baseline17,2,Q850,24,8,0.8791817886583803
baseline17,2,Q850,24,9,0.8771386159816689
baseline17,2,Q850,24,10,0.8820271423044294
baseline17,2,Q850,24,11,0.8666952618880172
baseline17,2,Q850,24,12,0.8719242084031256
