run,seed,variable,lead_hours,metric,value
baseline17,0,Q500,54.0,acc,0.10921221342838949
baseline17,0,Q500,60.0,acc,0.06974787615434365
baseline17,0,Q500,66.0,acc,0.04048834892305076
baseline17,0,Q500,72.0,acc,0.019623725231810656
baseline17,0,Q500,78.0,acc,0.005402540278252005
baseline17,0,Q500,84.0,acc,-0.0042483620175968245
baseline17,0,Q500,90.0,acc,-0.01077891826161432
baseline17,0,Q500,96.0,acc,-0.013911333313717097
baseline17,0,Q500,102.0,acc,-0.015256523355925368
baseline17,0,Q500,108.0,acc,-0.016678034697058083
baseline17,0,Q500,114.0,acc,-0.018094688192378094
baseline17,0,Q500,120.0,acc,-0.020568923476340508
baseline17,0,Q850,6.0,rmse,0.0011625672932612293
baseline17,0,Q850,12.0,rmse,0.0013362139344349712
baseline17,0,Q850,18.0,rmse,0.001508964310993905
baseline17,0,Q850,24.0,rmse,0.0016820592333608895
baseline17,0,Q850,30.0,rmse,0.0018682695854943864
baseline17,0,Q850,36.0,rmse,0.00206819086742493
baseline17,0,Q850,42.0,rmse,0.0023075555628150734
baseline17,0,Q850,48.0,rmse,0.002616771992246938
baseline17,0,Q850,54.0,rmse,0.0030580056002708694
baseline17,0,Q850,60.0,rmse,0.003722568478622213
baseline17,0,Q850,66.0,rmse,0.004721459172818524
baseline17,0,Q850,72.0,rmse,0.006094230558684198
baseline17,0,Q850,78.0,rmse,0.0077359628614818874
baseline17,0,Q850,84.0,rmse,0.009509771175402793
baseline17,0,Q850,90.0,rmse,0.01099956037474061
baseline17,0,Q850,96.0,rmse,0.01204033634142374
baseline17,0,Q850,102.0,rmse,0.012729726647744532
baseline17,0,Q850,108.0,rmse,0.013231954320666085
baseline17,0,Q850,114.0,rmse,0.01378825877279529
baseline17,0,Q850,120.0,rmse,0.014531532779154145
baseline17,0,Q850,6.0,rmse_climatology,0.00144015335484439
baseline17,0,Q850,12.0,rmse_climatology,0.0014408812381669213
baseline17,0,Q850,18.0,rmse_climatology,0.0014406939546006306
baseline17,0,Q850,24.0,rmse_climatology,0.001440393985085661
baseline17,0,Q850,30.0,rmse_climatology,0.0014403996060056148
baseline17,0,Q850,36.0,rmse_climatology,0.0014403016356245746
baseline17,0,Q850,42.0,rmse_climatology,0.0014410309380099588
baseline17,0,Q850,48.0,rmse_climatology,0.0014408364218990452
baseline17,0,Q850,54.0,rmse_climatology,0.001440507765892772
baseline17,0,Q850,60.0,rmse_climatology,0.001440538116462105
baseline17,0,Q850,66.0,rmse_climatology,0.0014404241967345079
baseline17,0,Q850,72.0,rmse_climatology,0.0014410925696179005
baseline17,0,Q850,78.0,rmse_climatology,0.0014409252545756657
baseline17,0,Q850,84.0,rmse_climatology,0.0014405920263996228
baseline17,0,Q850,90.0,rmse_climatology,0.001440598356527884
baseline17,0,Q850,96.0,rmse_climatology,0.001440443160596248
baseline17,0,Q850,102.0,rmse_climatology,0.0014410555474785305
baseline17,0,Q850,108.0,rmse_climatology,0.001440854692639432
baseline17,0,Q850,114.0,rmse_climatology,0.001440437517807376
baseline17,0,Q850,120.0,rmse_climatology,0.0014403566004310244
baseline17,0,Q850,6.0,skill,0.1927475713953769
baseline17,0,Q850,12.0,skill,0.07264117330385056
baseline17,0,Q850,18.0,skill,-0.04738713324593591
baseline17,0,Q850,24.0,skill,-0.16777718511567974
baseline17,0,Q850,30.0,skill,-0.29704949772605227
baseline17,0,Q850,36.0,skill,-0.43594287215266325
baseline17,0,Q850,42.0,skill,-0.6013227072013954
baseline17,0,Q850,48.0,skill,-0.8161478655557521
baseline17,0,Q850,54.0,skill,-1.1228664452049193
baseline17,0,Q850,60.0,skill,-1.5841513223993466
baseline17,0,Q850,66.0,skill,-2.277825506904312
baseline17,0,Q850,72.0,skill,-3.228895969049411
baseline17,0,Q850,78.0,skill,-4.368746808286063
baseline17,0,Q850,84.0,skill,-5.601293774456007
baseline17,0,Q850,90.0,skill,-6.635410886662152
baseline17,0,Q850,96.0,skill,-7.358772265918386
baseline17,0,Q850,102.0,skill,-7.8336127431161255
baseline17,0,Q850,108.0,skill,-8.183406479682631
baseline17,0,Q850,114.0,skill,-8.572271342795682
baseline17,0,Q850,120.0,skill,-9.088843814653682
baseline17,0,Q850,6.0,rmse_persistence,0.0006089466958963016
baseline17,0,Q850,12.0,rmse_persistence,0.0009651592028270345
baseline17,0,Q850,18.0,rmse_persistence,0.0011921699912661005
baseline17,0,Q850,24.0,rmse_persistence,0.0013461022601112002
baseline17,0,Q850,30.0,rmse_persistence,0.0014901987509948849
baseline17,0,Q850,36.0,rmse_persistence,0.001590140601890257
baseline17,0,Q850,42.0,rmse_persistence,0.0016561719138506537
baseline17,0,Q850,48.0,rmse_persistence,0.0016971422869978788
baseline17,0,Q850,54.0,rmse_persistence,0.0017495537385687474
baseline17,0,Q850,60.0,rmse_persistence,0.0017850382878730167
baseline17,0,Q850,66.0,rmse_persistence,0.0018044668658256852
baseline17,0,Q850,72.0,rmse_persistence,0.0018128769457985004
baseline17,0,Q850,78.0,rmse_persistence,0.001838122116865538
baseline17,0,Q850,84.0,rmse_persistence,0.0018540377289853944
baseline17,0,Q850,90.0,rmse_persistence,0.0018604876379336543
baseline17,0,Q850,96.0,rmse_persistence,0.001860015130898766
baseline17,0,Q850,102.0,rmse_persistence,0.0018793768142266912
baseline17,0,Q850,108.0,rmse_persistence,0.001891529809451903
baseline17,0,Q850,114.0,rmse_persistence,0.0018958779507948053
baseline17,0,Q850,120.0,rmse_persistence,0.0018946784969628883
baseline17,0,Q850,6.0,acc,0.6262230806146457
baseline17,0,Q850,12.0,acc,0.5057913355573233
baseline17,0,Q850,18.0,acc,0.39720603568665386
baseline17,0,Q850,24.0,acc,0.30689713009023384
baseline17,0,Q850,30.0,acc,0.23002643260972852
baseline17,0,Q850,36.0,acc,0.16816717600054754
baseline17,0,Q850,42.0,acc,0.11795930964011092
baseline17,0,Q850,48.0,acc,0.07875585500910677
baseline17,0,Q850,54.0,acc,0.048523208990744096
baseline17,0,Q850,60.0,acc,0.0260566399228903
baseline17,0,Q850,66.0,acc,0.009474054334092596
baseline17,0,Q850,72.0,acc,-0.0029624755147919066
baseline17,0,Q850,78.0,acc,-0.011374313859865447
baseline17,0,Q850,84.0,acc,-0.015588618546989643
baseline17,0,Q850,90.0,acc,-0.016583797696136045
baseline17,0,Q850,96.0,acc,-0.014078288634495091
baseline17,0,Q850,102.0,acc,-0.010238667616950935
baseline17,0,Q850,108.0,acc,-0.006060332345947988
baseline17,0,Q850,114.0,acc,-0.0023990180988309965
baseline17,0,Q850,120.0,acc,0.0009386697763195434
baseline17,0,T250,6.0,rmse,2.0064302617481142
baseline17,0,T250,12.0,rmse,2.408511171499449
baseline17,0,T250,18.0,rmse,2.8695696453149386
baseline17,0,T250,24.0,rmse,3.3340179108253007
baseline17,0,T250,30.0,rmse,3.79818998084064
baseline17,0,T250,36.0,rmse,4.2944981592294615
baseline17,0,T250,42.0,rmse,4.908616720117663
baseline17,0,T250,48.0,rmse,5.754759606694585
baseline17,0,T250,54.0,rmse,6.968660807422184
baseline17,0,T250,60.0,rmse,8.688349877087907
baseline17,0,T250,66.0,rmse,11.053553347335596
baseline17,0,T250,72.0,rmse,14.14272266070415
baseline17,0,T250,78.0,rmse,17.915175041694834
baseline17,0,T250,84.0,rmse,22.21770692176851
baseline17,0,T250,90.0,rmse,26.13371496993056
baseline17,0,T250,96.0,rmse,28.690533648052934
baseline17,0,T250,102.0,rmse,30.000834366302197
baseline17,0,T250,108.0,rmse,30.620574020131546
baseline17,0,T250,114.0,rmse,31.28456126977694
baseline17,0,T250,120.0,rmse,32.77368067344231
baseline17,0,T250,6.0,rmse_climatology,2.778421789105085
baseline17,0,T250,12.0,rmse_climatology,2.7776059735968026
baseline17,0,T250,18.0,rmse_climatology,2.7780232004538514
baseline17,0,T250,24.0,rmse_climatology,2.7790911204338404
baseline17,0,T250,30.0,rmse_climatology,2.779323689143325
baseline17,0,T250,36.0,rmse_climatology,2.77866305353063
baseline17,0,T250,42.0,rmse_climatology,2.7777725329793657
baseline17,0,T250,48.0,rmse_climatology,2.7780739287428267
baseline17,0,T250,54.0,rmse_climatology,2.778967966075586
baseline17,0,T250,60.0,rmse_climatology,2.7790312944617406
baseline17,0,T250,66.0,rmse_climatology,2.778236154956969
baseline17,0,T250,72.0,rmse_climatology,2.777279903351175
baseline17,0,T250,78.0,rmse_climatology,2.777536634805378
baseline17,0,T250,84.0,rmse_climatology,2.778339800996408
baseline17,0,T250,90.0,rmse_climatology,2.778363726410039
baseline17,0,T250,96.0,rmse_climatology,2.7775368117306245
baseline17,0,T250,102.0,rmse_climatology,2.7765567296617717
baseline17,0,T250,108.0,rmse_climatology,2.7768414217931596
baseline17,0,T250,114.0,rmse_climatology,2.7777229273034636
baseline17,0,T250,120.0,rmse_climatology,2.777859302772127
baseline17,0,T250,6.0,skill,0.27785253138459776
baseline17,0,T250,12.0,skill,0.13288234746248107
baseline17,0,T250,18.0,skill,-0.03295380860970898
baseline17,0,T250,24.0,skill,-0.199679235528208
baseline17,0,T250,30.0,skill,-0.36658784857526316
baseline17,0,T250,36.0,skill,-0.5455267790647658
baseline17,0,T250,42.0,skill,-0.7671053557624496
baseline17,0,T250,48.0,skill,-1.0714926075775133
baseline17,0,T250,54.0,skill,-1.5076434462334647
baseline17,0,T250,60.0,skill,-2.1263951199119973
baseline17,0,T250,66.0,skill,-2.978622669499742
baseline17,0,T250,72.0,skill,-4.092292873915584
baseline17,0,T250,78.0,skill,-5.450022950984461
baseline17,0,T250,84.0,skill,-6.996756521214747
baseline17,0,T250,90.0,skill,-8.40615324102949
baseline17,0,T250,96.0,skill,-9.329488173435394
baseline17,0,T250,102.0,skill,-9.805050026821087
baseline17,0,T250,108.0,skill,-10.02712376004466
baseline17,0,T250,114.0,skill,-10.262664451615095
baseline17,0,T250,120.0,skill,-10.798178777714286
baseline17,0,T250,6.0,rmse_persistence,1.1207176545285014
baseline17,0,T250,12.0,rmse_persistence,1.843115514777053
baseline17,0,T250,18.0,rmse_persistence,2.3054862356098025
baseline17,0,T250,24.0,rmse_persistence,2.6133587599676704
baseline17,0,T250,30.0,rmse_persistence,2.8360473595898212
baseline17,0,T250,36.0,rmse_persistence,2.995861909523321
baseline17,0,T250,42.0,rmse_persistence,3.1114383198812225
baseline17,0,T250,48.0,rmse_persistence,3.2026690659305648
baseline17,0,T250,54.0,rmse_persistence,3.2838535554032857
baseline17,0,T250,60.0,rmse_persistence,3.3500505607450752
baseline17,0,T250,66.0,rmse_persistence,3.400171031557549
baseline17,0,T250,72.0,rmse_persistence,3.4393037376242024
baseline17,0,T250,78.0,rmse_persistence,3.4782262811882756
baseline17,0,T250,84.0,rmse_persistence,3.5120330014635393
baseline17,0,T250,90.0,rmse_persistence,3.5367914317085614
baseline17,0,T250,96.0,rmse_persistence,3.5574578124262612
baseline17,0,T250,102.0,rmse_persistence,3.58183419123739
baseline17,0,T250,108.0,rmse_persistence,3.60379244305544
baseline17,0,T250,114.0,rmse_persistence,3.6186811911008414
baseline17,0,T250,120.0,rmse_persistence,3.6311820299284254
baseline17,0,T250,6.0,acc,0.7075004007235931
baseline17,0,T250,12.0,acc,0.5834104750701804
baseline17,0,T250,18.0,acc,0.4520500203866039
baseline17,0,T250,24.0,acc,0.339737787767767
baseline17,0,T250,30.0,acc,0.24912615295200466
baseline17,0,T250,36.0,acc,0.17637807662967225
baseline17,0,T250,42.0,acc,0.11664870086053293
baseline17,0,T250,48.0,acc,0.06889048149885107
baseline17,0,T250,54.0,acc,0.03120900526372314
baseline17,0,T250,60.0,acc,0.0012078779942821351
baseline17,0,T250,66.0,acc,-0.022938403839661354
baseline17,0,T250,72.0,acc,-0.042869601085813655
baseline17,0,T250,78.0,acc,-0.057519590098079706
baseline17,0,T250,84.0,acc,-0.0671464361970468
baseline17,0,T250,90.0,acc,-0.0727546264506388
baseline17,0,T250,96.0,acc,-0.07541572126613454
baseline17,0,T250,102.0,acc,-0.07598876612286566
baseline17,0,T250,108.0,acc,-0.07605683177221272
baseline17,0,T250,114.0,acc,-0.0771823145025401
baseline17,0,T250,120.0,acc,-0.07859819828106615
baseline17,0,T2M,6.0,rmse,4.160190339497585
baseline17,0,T2M,12.0,rmse,4.363809212863465
baseline17,0,T2M,18.0,rmse,4.6663606515677865
baseline17,0,T2M,24.0,rmse,5.170679516344422
baseline17,0,T2M,30.0,rmse,5.863764777860195
baseline17,0,T2M,36.0,rmse,6.640603268893722
baseline17,0,T2M,42.0,rmse,7.540977819323307
baseline17,0,T2M,48.0,rmse,8.78680872879825
baseline17,0,T2M,54.0,rmse,10.631048582803261
baseline17,0,T2M,60.0,rmse,13.333387872299697
baseline17,0,T2M,66.0,rmse,17.17039166038432
baseline17,0,T2M,72.0,rmse,22.462615697672458
baseline17,0,T2M,78.0,rmse,29.082261091325705
baseline17,0,T2M,84.0,rmse,36.58765588993441
baseline17,0,T2M,90.0,rmse,43.3126001144487
baseline17,0,T2M,96.0,rmse,47.932833937192484
baseline17,0,T2M,102.0,rmse,50.55677473257477
